Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.02     0.00    83054     0.00     0.00  long* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, long*, long>(__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, long*, std::allocator<long>&)
  0.00      0.02     0.00    83054     0.00     0.00  long* std::copy<__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, long*>(__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, long*)
  0.00      0.02     0.00    61789     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.02     0.00    59796     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<long, std::allocator<long> >*, std::vector<std::vector<long, std::allocator<long> >, std::allocator<std::vector<long, std::allocator<long> > > > >::base() const
  0.00      0.02     0.00    54620     0.00     0.00  bool __gnu_cxx::operator!=<std::vector<long, std::allocator<long> > const*, std::vector<std::vector<long, std::allocator<long> >, std::allocator<std::vector<long, std::allocator<long> > > > >(__gnu_cxx::__normal_iterator<std::vector<long, std::allocator<long> > const*, std::vector<std::vector<long, std::allocator<long> >, std::allocator<std::vector<long, std::allocator<long> > > > > const&, __gnu_cxx::__normal_iterator<std::vector<long, std::allocator<long> > const*, std::vector<std::vector<long, std::allocator<long> >, std::allocator<std::vector<long, std::allocator<long> > > > > const&)
  0.00      0.02     0.00    53994     0.00     0.00  std::vector<long, std::allocator<long> > const& std::forward<std::vector<long, std::allocator<long> > const&>(std::remove_reference<std::vector<long, std::allocator<long> > const&>::type&)
  0.00      0.02     0.00    53434     0.00     0.00  void std::_Destroy<std::vector<long, std::allocator<long> > >(std::vector<long, std::allocator<long> >*)
  0.00      0.02     0.00    52966     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<long, std::allocator<long> > const*, std::vector<std::vector<long, std::allocator<long> >, std::allocator<std::vector<long, std::allocator<long> > > > >::operator++()
  0.00      0.02     0.00    52966     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<long, std::allocator<long> > const*, std::vector<std::vector<long, std::allocator<long> >, std::allocator<std::vector<long, std::allocator<long> > > > >::operator*() const
  0.00      0.02     0.00    52966     0.00     0.00  void std::_Construct<std::vector<long, std::allocator<long> >, std::vector<long, std::allocator<long> > const&>(std::vector<long, std::allocator<long> >*, std::vector<long, std::allocator<long> > const&)
